ProductTitle,MerchantID,ClusterID,ClusterLabel,CategoryID,CategoryLabel,brand
Apple iPhone 8 Plus 64GB,1,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,2,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,3,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,4,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,5,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,6,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,7,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,14,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,15,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,0,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,17,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
Apple iPhone 8 Plus 64GB,18,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,Apple
